archivo,tipo,familia,que_prueba
listas/L01_socios_limpio_1.xlsx,lista,L01,Caso ideal
listas/L02_titulo_arriba_1.xlsx,lista,L02,"Filas de título antes de la cabecera, columnas desordenadas, importes y fechas como texto"
listas/L03_csv_puntoycoma_1.csv,lista,L03,"CSV de Excel español: separador ; , codificación Windows-1252, decimales con coma, MAYÚSCULAS"
listas/L04_csv_ingles_1.csv,lista,L04,"Cabeceras en inglés, UTF-8 con BOM, fechas ISO, TRUE/FALSE"
listas/L05_sucio_1.xlsx,lista,L05,"Espacios sobrantes, filas vacías, 1 fila duplicada (no debe importarse dos veces), fila TOTAL al final (no es un socio), fechas como número de serie de Excel, notas libres (dato potencialmente sensible: no importar como dato de salud)"
listas/L06_pagos_por_meses_1.xlsx,lista,L06,Pagos en formato ancho (un mes por columna). Muy habitual en clubes. Celda vacía = no pagado
listas/L07_pagos_lista_1.xlsx,lista,L07,"Listado de cobros: una fila por pago, mes deducido del concepto"
listas/L08_activos_y_bajas_1.xlsx,lista,L08,"Varias hojas: Activos, Bajas (estado baja) y Notas (ignorar)"
listas/L09_cabecera_doble_1.xlsx,lista,L09,"Cabecera en dos filas con celdas combinadas; nombre escrito como 'Apellidos, Nombre'"
listas/L10_csv_tabulador_1.csv,lista,L10,"Exportación de otro programa: tabuladores, apellidos en 2 columnas, columnas que no interesan"
listas/L01_socios_limpio_2.xlsx,lista,L01,Caso ideal
listas/L02_titulo_arriba_2.xlsx,lista,L02,"Filas de título antes de la cabecera, columnas desordenadas, importes y fechas como texto"
listas/L03_csv_puntoycoma_2.csv,lista,L03,"CSV de Excel español: separador ; , codificación Windows-1252, decimales con coma, MAYÚSCULAS"
listas/L04_csv_ingles_2.csv,lista,L04,"Cabeceras en inglés, UTF-8 con BOM, fechas ISO, TRUE/FALSE"
listas/L05_sucio_2.xlsx,lista,L05,"Espacios sobrantes, filas vacías, 1 fila duplicada (no debe importarse dos veces), fila TOTAL al final (no es un socio), fechas como número de serie de Excel, notas libres (dato potencialmente sensible: no importar como dato de salud)"
